Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,kg CO2 eq/kg de produit
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Anchois, filets roulés aux câpres, semi-conserve, égoutté",0.0146
"viandes, œufs, poissons",charcuteries,Andouille,0.0311
"viandes, œufs, poissons",charcuteries,Andouille de Guéméné,0.0311
"viandes, œufs, poissons",charcuteries,Andouille de Vire,0.0311
"viandes, œufs, poissons",charcuteries,"Andouille, réchauffée à la poêle",0.0311
"viandes, œufs, poissons",charcuteries,"Andouillette de Troyes, crue",0.0309
"viandes, œufs, poissons",charcuteries,"Andouillette, crue",0.0309
"viandes, œufs, poissons",charcuteries,"Andouillette, sautée/poêlée",0.0311
"viandes, œufs, poissons",poissons crus,"Bar commun ou loup (Méditerranée), cru, élevage",0.06
"viandes, œufs, poissons",poissons crus,"Bar commun ou loup (Méditerranée), cru, sauvage",186
"viandes, œufs, poissons",poissons crus,"Bar commun ou loup, cru, sans précision",0.06
"viandes, œufs, poissons",poissons cuits,"Bar commun ou loup, rôti/cuit au four",0.0732
"viandes, œufs, poissons",poissons crus,"Bar ou loup de l'Atlantique, cru",0.06
"viandes, œufs, poissons",poissons crus,"Bar rayé ou bar d'Amérique, cru",0.06
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,Beignet de crevette,0.0233
"viandes, œufs, poissons",viandes crues,"Boeuf, à bourguignon ou pot-au-feu, cru",0.0402
"viandes, œufs, poissons",viandes cuites,"Boeuf, à bourguignon ou pot-au-feu, cuit",51
"viandes, œufs, poissons",viandes crues,"Boeuf, bavette d'aloyau, crue",0.0402
"viandes, œufs, poissons",viandes cuites,"Boeuf, bavette d'aloyau, grillée/poêlée",0.0509
"viandes, œufs, poissons",viandes crues,"Boeuf, boule de macreuse, crue",0.0402
"viandes, œufs, poissons",viandes cuites,"Boeuf, boule de macreuse, grillée/poêlée",51
"viandes, œufs, poissons",viandes cuites,"Boeuf, boule de macreuse, rôtie/cuite au four",51
"viandes, œufs, poissons",autres produits à base de viande,"Boeuf, boulettes cuites",0.0459
"viandes, œufs, poissons",viandes cuites,"Boeuf, braisé",51
"viandes, œufs, poissons",viandes cuites,"Boeuf, collier, braisé",0.0638
"viandes, œufs, poissons",viandes crues,"Boeuf, côte, crue",0.0405
"viandes, œufs, poissons",viandes crues,"Boeuf, entrecôte, crue",0.0405
"viandes, œufs, poissons",viandes cuites,"Boeuf, entrecôte, partie maigre, grillée/poêlée",0.0514
"viandes, œufs, poissons",viandes crues,"Boeuf, épaule, crue",0.0402
"viandes, œufs, poissons",viandes crues,"Boeuf, faux-filet, cru",0.0402
"viandes, œufs, poissons",viandes cuites,"Boeuf, faux-filet, grillé/poêlé",0.0509
"viandes, œufs, poissons",viandes crues,"Boeuf, faux-filet, label rouge, cru",0.0402
"viandes, œufs, poissons",viandes cuites,"Boeuf, faux-filet, rôti/cuit au four",51
"viandes, œufs, poissons",viandes crues,"Boeuf, gîte à la noix, cru",0.0402
"viandes, œufs, poissons",viandes cuites,"Boeuf, gîte à la noix, cuit",51
"viandes, œufs, poissons",viandes crues,"Boeuf, hampe, crue",0.0402
"viandes, œufs, poissons",viandes cuites,"Boeuf, hampe, grillée/poêlée",0.0509
"viandes, œufs, poissons",viandes cuites,"Boeuf, jarret, bouilli/cuit à l'eau",0.0515
"viandes, œufs, poissons",viandes crues,"Boeuf, jarret, cru",0.0405
"viandes, œufs, poissons",viandes cuites,"Boeuf, joue, braisée ou bouillie",0.0411
"viandes, œufs, poissons",viandes crues,"Boeuf, joue, crue",0.0402
"viandes, œufs, poissons",viandes crues,"Boeuf, onglet, cru",0.0402
"viandes, œufs, poissons",viandes cuites,"Boeuf, onglet, grillé",51
"viandes, œufs, poissons",viandes cuites,"Boeuf, paleron, braisé ou bouilli",0.0638
"viandes, œufs, poissons",viandes crues,"Boeuf, paleron, cru",0.0503
"viandes, œufs, poissons",viandes cuites,"Boeuf, plat de côtes, braisé",0.0514
"viandes, œufs, poissons",viandes crues,"Boeuf, plat de côtes, cru",0.0405
"viandes, œufs, poissons",viandes cuites,"Boeuf, queue, bouillie/cuite à l'eau",0.0515
"viandes, œufs, poissons",viandes cuites,"Boeuf, rosbif, rôti/cuit au four",51
"viandes, œufs, poissons",viandes crues,"Boeuf, rumsteck, cru",0.0402
"viandes, œufs, poissons",viandes cuites,"Boeuf, rumsteck, grillé",51
"viandes, œufs, poissons",viandes crues,"Bœuf, steak haché 10% MG, cru",0.0494
"viandes, œufs, poissons",viandes cuites,"Bœuf, steak haché 10% MG, cuit",0.0626
"viandes, œufs, poissons",viandes crues,"Bœuf, steak haché 15% MG, cru",0.0494
"viandes, œufs, poissons",viandes cuites,"Bœuf, steak haché 15% MG, cuit",0.0626
"viandes, œufs, poissons",viandes crues,"Bœuf, steak haché 20% MG, cru",0.0494
"viandes, œufs, poissons",viandes cuites,"Bœuf, steak haché 20% MG, cuit",0.0626
"viandes, œufs, poissons",viandes crues,"Bœuf, steak haché 5% MG, cru",0.0494
"viandes, œufs, poissons",viandes cuites,"Bœuf, steak haché 5% MG, cuit",0.0626
"viandes, œufs, poissons",viandes crues,"Boeuf, steak ou bifteck, cru",0.0402
"viandes, œufs, poissons",viandes cuites,"Boeuf, steak ou bifteck, grillé",51
"viandes, œufs, poissons",viandes crues,"Boeuf, tende de tranche, crue",0.0402
"viandes, œufs, poissons",viandes cuites,"Boeuf, tende de tranche, grillée/poêlée",0.0509
"viandes, œufs, poissons",viandes cuites,"Boeuf, tende de tranche, rôtie/cuite au four",51
"viandes, œufs, poissons",poissons crus,"Bogue, crue",0.0126
"viandes, œufs, poissons",poissons crus,"Bonite, crue",179
"viandes, œufs, poissons",substituts de viande,"Bouchées ou émincé au soja et blé (ne convient pas aux véganes ou végétaliens), préemballé",0.00608
"viandes, œufs, poissons",charcuteries,"Boudin blanc truffé, cru",0.0309
"viandes, œufs, poissons",charcuteries,"Boudin noir, rayon frais",0.00408
"viandes, œufs, poissons",charcuteries,"Boudin noir, sauté/poêlé",0.00408
"viandes, œufs, poissons",poissons crus,"Brème, cru",0.06
"viandes, œufs, poissons",charcuteries,Bresaola,0.0273
"viandes, œufs, poissons",autres produits à base de viande,Brochette d'agneau,0.0816
"viandes, œufs, poissons",autres produits à base de viande,Brochette de boeuf,51
"viandes, œufs, poissons",autres produits à base de viande,"Brochette de porc, crue",0.0159
"viandes, œufs, poissons",autres produits à base de viande,Brochette de volaille,0.0237
"viandes, œufs, poissons",autres produits à base de viande,Brochette mixte de viande,0.0161
"viandes, œufs, poissons",poissons crus,"Cabillaud, cru",225
"viandes, œufs, poissons",poissons cuits,"Cabillaud, cuit à la vapeur",275
"viandes, œufs, poissons",poissons cuits,"Cabillaud, rôti/cuit au four",275
"viandes, œufs, poissons",viandes cuites,"Caille, viande et peau, cuite",0.0242
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Calmar ou Calamar ou encornet, à la romaine (beignet)",104
"viandes, œufs, poissons",mollusques et crustacés cuits,"Calmar ou calamar ou encornet, bouilli/cuit à l'eau",126
"viandes, œufs, poissons",mollusques et crustacés crus,"Calmar ou calamar ou encornet, cru",104
"viandes, œufs, poissons",mollusques et crustacés cuits,"Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse",126
"viandes, œufs, poissons",viandes crues,"Canard, cuisse avec peau, sans os, crue",0.0181
"viandes, œufs, poissons",charcuteries,"Canard, magret fumé",0.0244
"viandes, œufs, poissons",viandes crues,"Canard, magret, cru",0.0237
"viandes, œufs, poissons",viandes cuites,"Canard, magret, grillé/poêlé",0.0237
"viandes, œufs, poissons",viandes crues,"Canard, viande et peau, cru",0.0181
"viandes, œufs, poissons",viandes cuites,"Canard, viande et peau, rôti/cuit au four",0.0242
"viandes, œufs, poissons",viandes crues,"Canard, viande, crue",0.0181
"viandes, œufs, poissons",viandes cuites,"Canard, viande, rôtie/cuite au four",0.0242
"viandes, œufs, poissons",poissons crus,"Capelan, cru",179
"viandes, œufs, poissons",poissons crus,"Carangue, cru",0.0648
"viandes, œufs, poissons",poissons crus,"Cardine franche, crue",225
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,Carpaccio de saumon avec marinade,0.0259
"viandes, œufs, poissons",poissons crus,"Carpe, crue, élevage",0.0258
"viandes, œufs, poissons",poissons cuits,"Carpe, rôtie/cuite au four",0.0314
"viandes, œufs, poissons",poissons cuits,"Carrelet ou plie, cuit à la vapeur",275
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Carrelet ou plie, pané, frit",275
"viandes, œufs, poissons",charcuteries,Cervelas,0.0148
"viandes, œufs, poissons",charcuteries,"Cervelas à l'ail, pur porc",11
"viandes, œufs, poissons",charcuteries,Cervelas obernois,11
"viandes, œufs, poissons",viandes crues,"Cervelle, agneau, crue",0.0341
"viandes, œufs, poissons",viandes cuites,"Cervelle, agneau, cuite",47
"viandes, œufs, poissons",viandes cuites,"Cervelle, porc, braisée",0.00642
"viandes, œufs, poissons",viandes crues,"Cervelle, porc, crue",0.0045
"viandes, œufs, poissons",viandes crues,"Cervelle, veau, crue",0.0332
"viandes, œufs, poissons",viandes cuites,"Cervelle, veau, cuite",0.0458
"viandes, œufs, poissons",charcuteries,"Chair à saucisse, crue",19
"viandes, œufs, poissons",charcuteries,"Chair à saucisse, porc et bœuf, crue",0.0106
"viandes, œufs, poissons",charcuteries,"Chair à saucisse, pur porc, crue",0.0106
"viandes, œufs, poissons",viandes crues,"Chapon, viande et peau, cru",0.0182
"viandes, œufs, poissons",viandes cuites,"Chapon, viande et peau, rôti/cuit au four",0.0244
"viandes, œufs, poissons",viandes crues,"Chevreau, cru",0.0648
"viandes, œufs, poissons",viandes cuites,"Chevreau, cuit",82
"viandes, œufs, poissons",poissons crus,"Chinchard gras, cru",0.0288
"viandes, œufs, poissons",poissons crus,"Chinchard maigre, cru",0.0288
"viandes, œufs, poissons",poissons crus,"Chinchard, cru",0.0288
"viandes, œufs, poissons",charcuteries,"Chipolata, crue",0.0106
"viandes, œufs, poissons",charcuteries,"Chipolata, cuite",0.0143
"viandes, œufs, poissons",charcuteries,Chorizo,0.0125
"viandes, œufs, poissons",charcuteries,"Chorizo supérieur, doux ou fort, type charcuterie en tranches",0.0125
"viandes, œufs, poissons",charcuteries,"Chorizo supérieur, doux ou fort, type saucisse sèche",0.0122
"viandes, œufs, poissons",viandes crues,"Coeur, agneau, cru",0.0341
"viandes, œufs, poissons",viandes cuites,"Coeur, agneau, cuit",47
"viandes, œufs, poissons",viandes crues,"Coeur, boeuf, cru",32
"viandes, œufs, poissons",viandes cuites,"Coeur, boeuf, cuit",0.0441
"viandes, œufs, poissons",viandes crues,"Coeur, dinde, cru",0.00484
"viandes, œufs, poissons",viandes cuites,"Coeur, dinde, cuit",0.00688
"viandes, œufs, poissons",viandes crues,"Coeur, porc, cru",0.0045
"viandes, œufs, poissons",viandes crues,"Coeur, poulet, cru",0.00484
"viandes, œufs, poissons",viandes cuites,"Coeur, poulet, cuit",0.00688
"viandes, œufs, poissons",viandes crues,"Coeur, veau, cru",0.0332
"viandes, œufs, poissons",charcuteries,Confit de canard,25
"viandes, œufs, poissons",charcuteries,"Confit de canard, viande (cuisse), sans peau, réchauffé",25
"viandes, œufs, poissons",charcuteries,Confit de foie de porc,0.00455
"viandes, œufs, poissons",charcuteries,Confit de foie de volaille,0.00489
"viandes, œufs, poissons",poissons crus,"Congre, cru",225
"viandes, œufs, poissons",charcuteries,Coppa,0.0342
"viandes, œufs, poissons",mollusques et crustacés crus,"Coquille Saint-Jacques, noix et corail, crue",0.13
"viandes, œufs, poissons",mollusques et crustacés cuits,"Coquille Saint-Jacques, noix et corail, cuite",159
"viandes, œufs, poissons",mollusques et crustacés crus,"Coquille Saint-Jacques, noix, crue",0.13
"viandes, œufs, poissons",poissons crus,"Corb, cru",0.0648
"viandes, œufs, poissons",autres produits à base de viande,Cordon bleu de volaille,0.0159
"viandes, œufs, poissons",poissons crus,"Coulirou, cru",0.0288
"viandes, œufs, poissons",mollusques et crustacés cuits,"Crabe ou Tourteau, bouilli/cuit à l'eau",374
"viandes, œufs, poissons",mollusques et crustacés crus,"Crevette rose, crue",0.0794
"viandes, œufs, poissons",mollusques et crustacés crus,"Crevette, crue",0.0794
"viandes, œufs, poissons",mollusques et crustacés cuits,"Crevette, cuite",0.0969
"viandes, œufs, poissons",mollusques et crustacés crus,"Crevette, surgelée, crue",0.0494
"viandes, œufs, poissons",poissons crus,"Denté, cru",225
"viandes, œufs, poissons",charcuteries,"Dés, allumettes, râpé ou haché de jambon",0.0146
"viandes, œufs, poissons",charcuteries,"Dés, allumettes, râpé ou haché de jambon de volaille",0.0178
"viandes, œufs, poissons",viandes crues,"Dinde, aile, crue",0.0181
"viandes, œufs, poissons",viandes crues,"Dinde, cuisse, viande et peau, crue",0.0181
"viandes, œufs, poissons",viandes crues,"Dinde, cuisse, viande sans peau, crue",0.0181
"viandes, œufs, poissons",autres produits à base de viande,"Dinde, escalope viennoise ou milanaise ou escalope panée",0.0166
"viandes, œufs, poissons",viandes crues,"Dinde, escalope, crue",0.0178
"viandes, œufs, poissons",viandes cuites,"Dinde, escalope, rôtie/cuite au four",0.0237
"viandes, œufs, poissons",viandes cuites,"Dinde, escalope, sautée/poêlée",0.0237
"viandes, œufs, poissons",viandes crues,"Dinde, viande et peau, crue",0.0144
"viandes, œufs, poissons",viandes crues,"Dinde, viande, crue",0.0144
"viandes, œufs, poissons",viandes cuites,"Dinde, viande, rôtie/cuite au four",0.0193
"viandes, œufs, poissons",charcuteries,"Diot, cru",0.0106
"viandes, œufs, poissons",poissons crus,"Dorade grise, ou daurade grise, ou griset, crue",0.12
"viandes, œufs, poissons",poissons cuits,"Dorade grise, ou daurade grise, ou griset, rôtie/cuite au four",146
"viandes, œufs, poissons",poissons crus,"Dorade rose, ou daurade rose, crue",0.12
"viandes, œufs, poissons",poissons crus,"Dorade royale ou daurade ou vraie daurade, crue, élevage",0.06
"viandes, œufs, poissons",poissons crus,"Dorade royale, ou daurade ou vraie daurade, crue, sauvage",186
"viandes, œufs, poissons",poissons crus,"Églefin, cru",225
"viandes, œufs, poissons",poissons cuits,"Églefin, cuit à la vapeur",275
"viandes, œufs, poissons",poissons cuits,"Églefin, grillé/poêlé",275
"viandes, œufs, poissons",poissons crus,"Empereur, filet, sans peau, cru",225
"viandes, œufs, poissons",charcuteries,"Épaule de porc, cuite, choix, découennée dégraissée",0.0146
"viandes, œufs, poissons",charcuteries,"Épaule de porc, cuite, standard, découennée dégraissée",0.0146
"viandes, œufs, poissons",poissons crus,"Éperlan, cru",0.0221
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Escargot en sauce au beurre persillé, cuit",0.0105
"viandes, œufs, poissons",poissons crus,"Espadon, cru",0.0648
"viandes, œufs, poissons",poissons cuits,"Espadon, rôti/cuit au four",79
"viandes, œufs, poissons",viandes cuites,"Faisan, viande, rôtie/cuite au four",0.0231
"viandes, œufs, poissons",charcuteries,Filet de bacon,0.0146
"viandes, œufs, poissons",poissons crus,"Flétan de l'Atlantique ou flétan blanc, cru",0.0648
"viandes, œufs, poissons",poissons crus,"Flétan du Groënland ou flétan noir ou flétan commun, cru",225
"viandes, œufs, poissons",poissons cuits,"Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur",275
"viandes, œufs, poissons",viandes crues,"Foie, agneau, cru",0.0341
"viandes, œufs, poissons",viandes cuites,"Foie, agneau, cuit",47
"viandes, œufs, poissons",viandes crues,"Foie, canard, cru",0.00484
"viandes, œufs, poissons",viandes crues,"Foie, dinde, cru",0.00484
"viandes, œufs, poissons",viandes cuites,"Foie, dinde, cuit",0.00688
"viandes, œufs, poissons",viandes crues,"Foie, génisse, cru",32
"viandes, œufs, poissons",viandes cuites,"Foie, génisse, cuit",0.0441
"viandes, œufs, poissons",viandes crues,"Foie, lapin, cru",0.00484
"viandes, œufs, poissons",viandes crues,"Foie, oie, cru",0.00484
"viandes, œufs, poissons",viandes crues,"Foie, porc, cru",0.0045
"viandes, œufs, poissons",viandes cuites,"Foie, porc, cuit",0.00642
"viandes, œufs, poissons",viandes crues,"Foie, poulet, cru",0.00484
"viandes, œufs, poissons",viandes cuites,"Foie, poulet, cuit",0.00688
"viandes, œufs, poissons",viandes crues,"Foie, veau, cru",0.0332
"viandes, œufs, poissons",viandes cuites,"Foie, veau, cuit",0.0458
"viandes, œufs, poissons",viandes crues,"Foie, volaille, cru",0.00484
"viandes, œufs, poissons",charcuteries,Fromage de tête,0.0104
"viandes, œufs, poissons",viandes crues,"Gésier, poulet, cru",0.00484
"viandes, œufs, poissons",poissons crus,"Grenadier (de roche), cru",225
"viandes, œufs, poissons",poissons crus,"Grenadier bleu ou hoki de Nouvelle-Zélande, cru",132
"viandes, œufs, poissons",poissons crus,"Grondin perlon, cru",225
"viandes, œufs, poissons",poissons crus,"Grondin, cru",0.12
"viandes, œufs, poissons",autres produits à base de viande,"Haché à base de bœuf ou Préparation de viande hachée de boeuf, 15% MG, cru",0.0253
"viandes, œufs, poissons",charcuteries,Haché de volaille,0.0237
"viandes, œufs, poissons",poissons cuits,Haddock (fumé) ou églefin fumé,225
"viandes, œufs, poissons",poissons cuits,"Hareng fumé, à l'huile",0.0294
"viandes, œufs, poissons",poissons cuits,"Hareng fumé, au naturel",0.0294
"viandes, œufs, poissons",poissons cuits,"Hareng fumé, filet, doux",0.0294
"viandes, œufs, poissons",poissons crus,"Hareng gras, cru",0.0297
"viandes, œufs, poissons",poissons crus,"Hareng maigre, cru",0.0297
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,Hareng mariné ou rollmops,0.0297
"viandes, œufs, poissons",poissons crus,"Hareng, cru",0.0297
"viandes, œufs, poissons",poissons cuits,"Hareng, frit",0.0362
"viandes, œufs, poissons",poissons cuits,"Hareng, grillé/poêlé",0.0362
"viandes, œufs, poissons",poissons crus,"Hoki, tout lieu de pêche, cru",225
"viandes, œufs, poissons",mollusques et crustacés cuits,"Homard, bouilli/cuit à l'eau",0.39
"viandes, œufs, poissons",mollusques et crustacés crus,"Huître creuse, crue",0.0283
"viandes, œufs, poissons",mollusques et crustacés crus,"Huître plate, crue",0.0283
"viandes, œufs, poissons",mollusques et crustacés crus,"Huître, sans précision, crue",0.0283
"viandes, œufs, poissons",autres produits à base de viande,Insecte (Mouche Soldat Noir),0.00761
"viandes, œufs, poissons",charcuteries,Jambon à l'os braisé,0.0184
"viandes, œufs, poissons",charcuteries,Jambon cru,0.0273
"viandes, œufs, poissons",charcuteries,"Jambon cru, fumé",0.0273
"viandes, œufs, poissons",charcuteries,"Jambon cru, fumé, allégé en matière grasse",0.0273
"viandes, œufs, poissons",charcuteries,"Jambon cuit, choix",0.0146
"viandes, œufs, poissons",charcuteries,"Jambon cuit, choix, avec couenne",0.0146
"viandes, œufs, poissons",charcuteries,"Jambon cuit, choix, découenné dégraissé",0.0146
"viandes, œufs, poissons",charcuteries,"Jambon cuit, de Paris, découenné dégraissé",0.0146
"viandes, œufs, poissons",charcuteries,"Jambon cuit, fumé",0.0146
"viandes, œufs, poissons",charcuteries,"Jambon cuit, supérieur",0.0146
"viandes, œufs, poissons",charcuteries,"Jambon cuit, supérieur, à teneur réduite en sel",0.0146
"viandes, œufs, poissons",charcuteries,"Jambon cuit, supérieur, avec couenne",0.0146
"viandes, œufs, poissons",charcuteries,"Jambon cuit, supérieur, découenné",0.0146
"viandes, œufs, poissons",charcuteries,"Jambon cuit, supérieur, découenné dégraissé",0.0146
"viandes, œufs, poissons",charcuteries,Jambon de Bayonne,0.0273
"viandes, œufs, poissons",charcuteries,Jambon de dinde ou Blanc de dinde en tranche,0.0178
"viandes, œufs, poissons",charcuteries,Jambon de porc à cuire ou Jambon à rôtir/cuire au four,0.0146
"viandes, œufs, poissons",charcuteries,Jambon de poulet ou Blanc de poulet en tranche,0.0178
"viandes, œufs, poissons",charcuteries,Jambon en croûte,0.0187
"viandes, œufs, poissons",charcuteries,Jambon sec,0.0342
"viandes, œufs, poissons",charcuteries,Jambon sec de Parme,0.0342
"viandes, œufs, poissons",charcuteries,Jambon sec Serrano,0.0342
"viandes, œufs, poissons",charcuteries,"Jambon sec, découenné, dégraissé",0.0342
"viandes, œufs, poissons",charcuteries,"Jambonneau, cuit",0.0184
"viandes, œufs, poissons",poissons crus,"Joëls (petits poissons entiers) pour friture, crus",0.0126
"viandes, œufs, poissons",poissons crus,"Julienne ou Lingue, crue",225
"viandes, œufs, poissons",poissons cuits,"Julienne ou Lingue, cuite",275
"viandes, œufs, poissons",mollusques et crustacés crus,"Langoustine, crue",245
"viandes, œufs, poissons",viandes crues,"Langue, boeuf, crue",32
"viandes, œufs, poissons",viandes cuites,"Langue, boeuf, cuite",0.0441
"viandes, œufs, poissons",viandes crues,"Langue, porc, crue",0.0045
"viandes, œufs, poissons",viandes crues,"Langue, veau, crue",0.0332
"viandes, œufs, poissons",viandes cuites,"Langue, veau, cuite",0.0458
"viandes, œufs, poissons",viandes crues,"Lapin de garenne, viande, crue",0.0181
"viandes, œufs, poissons",viandes cuites,"Lapin de garenne, viande, cuite",0.0242
"viandes, œufs, poissons",viandes cuites,"Lapin, viande braisée",0.0242
"viandes, œufs, poissons",viandes crues,"Lapin, viande crue",0.0181
"viandes, œufs, poissons",viandes cuites,"Lapin, viande cuite",0.0242
"viandes, œufs, poissons",charcuteries,"Lardon fumé, cru",13
"viandes, œufs, poissons",charcuteries,"Lardon fumé, cuit",0.0166
"viandes, œufs, poissons",charcuteries,"Lardon nature, cru",13
"viandes, œufs, poissons",charcuteries,"Lardon nature, cuit",0.0166
"viandes, œufs, poissons",poissons crus,"Lieu jaune ou colin, cru",225
"viandes, œufs, poissons",poissons crus,"Lieu noir, cru",113
"viandes, œufs, poissons",poissons cuits,"Lieu noir, cuit",138
"viandes, œufs, poissons",poissons crus,"Lieu noir, surgelé, cru",0.0726
"viandes, œufs, poissons",poissons crus,"Lieu ou colin d'Alaska, cru",225
"viandes, œufs, poissons",poissons cuits,"Lieu ou colin d'Alaska, fumé",225
"viandes, œufs, poissons",poissons crus,"Limande, crue",225
"viandes, œufs, poissons",poissons crus,"Limande-sole, crue",225
"viandes, œufs, poissons",poissons cuits,"Limande-sole, cuite à la vapeur",275
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Limande-sole, panée, frite",275
"viandes, œufs, poissons",poissons crus,"Lingue bleue ou Lingue, crue",225
"viandes, œufs, poissons",poissons crus,"Lotte ou baudroie, crue",225
"viandes, œufs, poissons",poissons cuits,"Lotte ou baudroie, grillée/poêlée",275
"viandes, œufs, poissons",poissons crus,"Loup tacheté, cru",225
"viandes, œufs, poissons",poissons crus,"Maquereau espagnol ou maquereau blanc ou billard, cru",0.0288
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Maquereau, au naturel, appertisé, égoutté",0.0694
"viandes, œufs, poissons",poissons crus,"Maquereau, cru",0.0288
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Maquereau, filet au vin blanc, appertisé, égoutté",0.0694
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Maquereau, filet sauce moutarde, appertisé, égoutté",0.0694
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Maquereau, filet sauce tomate, appertisé, égoutté",0.0694
"viandes, œufs, poissons",poissons cuits,"Maquereau, frit",0.0351
"viandes, œufs, poissons",poissons cuits,"Maquereau, fumé",0.0285
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Maquereau, mariné",0.0288
"viandes, œufs, poissons",poissons cuits,"Maquereau, rôti/cuit au four",0.0351
"viandes, œufs, poissons",charcuteries,"Merguez, boeuf et mouton, crue",0.0594
"viandes, œufs, poissons",charcuteries,"Merguez, boeuf et mouton, cuite",0.0597
"viandes, œufs, poissons",charcuteries,"Merguez, bœuf, mouton et porc, crue",0.0495
"viandes, œufs, poissons",charcuteries,"Merguez, crue",0.0394
"viandes, œufs, poissons",charcuteries,"Merguez, porc et bœuf, crue",0.0394
"viandes, œufs, poissons",charcuteries,"Merguez, pur bœuf, crue",0.0442
"viandes, œufs, poissons",poissons crus,"Merlan, cru",225
"viandes, œufs, poissons",poissons cuits,"Merlan, cuit à la vapeur",275
"viandes, œufs, poissons",poissons cuits,"Merlan, frit",275
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Merlan, pané",275
"viandes, œufs, poissons",poissons crus,"Merlu blanc du Cap, surgelé, cru",132
"viandes, œufs, poissons",poissons crus,"Merlu, cru",132
"viandes, œufs, poissons",poissons cuits,"Merlu, cuit à l'étouffée",161
"viandes, œufs, poissons",poissons crus,"Merlu, filet, surgelé, cru",134
"viandes, œufs, poissons",poissons crus,"Mérou, cru",0.0648
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Miettes de thon à la tomate, appertisées",0.0806
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Miettes de thon à l'huile, appertisées",0.0834
"viandes, œufs, poissons",charcuteries,Mortadelle,0.0196
"viandes, œufs, poissons",charcuteries,Mortadelle pistachée pur porc,0.0196
"viandes, œufs, poissons",charcuteries,"Mortadelle, porc et boeuf",0.0196
"viandes, œufs, poissons",charcuteries,"Mortadelle, pur porc",0.0196
"viandes, œufs, poissons",poissons cuits,"Morue, salée, bouillie/cuite à l'eau",275
"viandes, œufs, poissons",poissons crus,"Morue, salée, sèche",225
"viandes, œufs, poissons",mollusques et crustacés crus,"Moule commune, crue",0.0278
"viandes, œufs, poissons",mollusques et crustacés crus,"Moule de Méditerranée, crue",0.0278
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Moule, appertisée, égouttée",0.0344
"viandes, œufs, poissons",mollusques et crustacés cuits,"Moule, bouillie/cuite à l'eau",0.0348
"viandes, œufs, poissons",produits à base de poissons et produits de la mer,"Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée",0.0286
"viandes, œufs, poissons",charcuteries,Mousse de canard,0.0161
"viandes, œufs, poissons",charcuteries,Mousse de foie de porc,0.0121
"viandes, œufs, poissons",charcuteries,Mousse de foie de porc supérieure ou Crème de foie,0.0121
"viandes, œufs, poissons",viandes crues,"Mouton, épaule, crue",0.0517
"viandes, œufs, poissons",viandes crues,"Mouton, gigot, cru",0.0648
"viandes, œufs, poissons",viandes crues,"Mouton, pied, cru",0.0427
"viandes, œufs, poissons",viandes crues,"Mouton, tête, crue",0.0427
"viandes, œufs, poissons",viandes crues,"Mouton, viande, crue",0.0517
"viandes, œufs, poissons",poissons crus,"Mulet, cru",225
"viandes, œufs, poissons",poissons cuits,"Mulet, rôti/cuit au four",275
"viandes, œufs, poissons",charcuteries,Museau de boeuf en vinaigrette,0.0323
"viandes, œufs, poissons",charcuteries,Museau de porc vinaigrette,0.0048
"viandes, œufs, poissons",œufs,"Oeuf de cane, cru",0.00877
"viandes, œufs, poissons",œufs,"Oeuf de dinde, cru",0.00776
"viandes, œufs, poissons",œufs,"Oeuf d'oie, cru",0.00877
"viandes, œufs, poissons",œufs,"Oeuf, à la coque",0.0102
"viandes, œufs, poissons",œufs,"Oeuf, au plat, sans matière grasse",0.00973
"viandes, œufs, poissons",œufs,"Oeuf, blanc (blanc d'oeuf), cru",0.00969
"viandes, œufs, poissons",œufs,"Oeuf, blanc (blanc d'oeuf), cuit",0.0107
"viandes, œufs, poissons",œufs,"Oeuf, blanc (blanc d'oeuf), en poudre",0.00908
"viandes, œufs, poissons",œufs,"Oeuf, brouillé, avec matière grasse",0.0115
"viandes, œufs, poissons",œufs,"Oeuf, cru",0.00877
"viandes, œufs, poissons",œufs,"Oeuf, dur",0.00964
"viandes, œufs, poissons",œufs,"Oeuf, en poudre",0.0114
